City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Santa Luzia,-19.7697,-43.8514,70.38,65,85,5.1,BR,2021-06-03 23:00:39
229,Kermen,42.5,26.25,62.42,63,75,4.61,BG,2021-06-03 22:58:09
230,Port Macquarie,-31.4333,152.9167,62.89,71,3,11.41,AU,2021-06-03 23:00:39
231,La Sarre,48.8002,-79.1996,59.67,84,99,8.61,CA,2021-06-03 22:57:54
232,Brunoy,48.7,2.5,66.92,88,0,4.59,FR,2021-06-03 23:00:40
233,Ostrovnoy,68.0531,39.5131,60.62,59,40,16.96,RU,2021-06-03 23:00:41
234,Ghiror,27.1833,78.8,89.06,37,11,4.16,IN,2021-06-03 23:00:41
235,Gambo,4.6482,22.2633,70.02,96,61,1.95,CF,2021-06-03 23:00:41
236,Maryborough,-25.5333,152.7,63.1,80,99,5.82,AU,2021-06-03 23:00:41
237,Payo,-3.7508,103.6372,73.0,98,80,2.44,ID,2021-06-03 23:00:42
238,Vardo,70.3705,31.1107,50.18,63,24,7.27,NO,2021-06-03 23:00:42
239,Maceio,-9.6658,-35.7353,74.64,94,20,4.56,BR,2021-06-03 23:00:43
240,Vao,-22.6667,167.4833,71.67,72,54,14.14,NC,2021-06-03 23:00:43
241,Kensington,-33.9167,151.2167,61.12,88,20,1.01,AU,2021-06-03 23:00:43
242,Dunedin,-45.8742,170.5036,51.8,71,100,8.01,NZ,2021-06-03 23:00:44
243,Naze,28.3667,129.4833,77.92,88,100,18.66,JP,2021-06-03 23:00:44
244,Arraial Do Cabo,-22.9661,-42.0278,74.14,84,0,5.39,BR,2021-06-03 23:00:44
245,Hami,42.8,93.45,78.46,13,34,0.98,CN,2021-06-03 23:00:45
246,Pangai,-19.8,-174.35,74.7,80,95,14.2,TO,2021-06-03 23:00:45
247,Saint George,37.1041,-113.5841,106.27,11,24,5.99,US,2021-06-03 22:58:12
248,Sambava,-14.2667,50.1667,71.06,88,78,7.49,MG,2021-06-03 23:00:46
249,Mamakan,57.8161,114.0028,67.32,65,5,1.7,RU,2021-06-03 23:00:47
250,Lagoa,39.05,-27.9833,61.45,70,16,13.76,PT,2021-06-03 23:00:47
251,Kropotkin,45.4375,40.5756,50.68,89,58,6.15,RU,2021-06-03 23:00:47
252,Nizhniy Odes,63.6445,54.856,45.97,81,8,6.78,RU,2021-06-03 23:00:48
253,Kysyl-Syr,63.8986,122.7617,72.9,44,32,5.93,RU,2021-06-03 23:00:48
254,Henties Bay,-22.116,14.2845,74.86,46,0,2.55,NA,2021-06-03 23:00:49
255,Marsh Harbour,26.5412,-77.0636,78.85,77,56,14.92,BS,2021-06-03 23:00:49
256,Igarka,67.4667,86.5833,32.65,98,100,12.26,RU,2021-06-03 23:00:50
